"rep..2000...length.nos..","A","B","C","D","data"
"2000","Vitória","4","1","Palmeiras","29/07/2000"
"2000","Vasco","0","2","Sport","29/07/2000"
"2000","Fluminense","2","0","Bahia","29/07/2000"
"2000","Guarani","0","0","santa-cruz","30/07/2000"
"2000","Botafogo","0","0","Atlético-MG","30/07/2000"
"2000","Cruzeiro","0","2","Atlético-PR","30/07/2000"
"2000","América-MG","0","1","Gama","30/07/2000"
"2000","Juventude","1","1","Flamengo","30/07/2000"
"2000","Goiás","3","0","Corinthians","30/07/2000"
"2000","Flamengo","3","0","Grêmio","02/08/2000"
"2000","Gama","2","1","Fluminense","02/08/2000"
"2000","Santos","2","0","Vitória","02/08/2000"
"2000","ponte-preta","3","1","América-MG","02/08/2000"
"2000","Coritiba","0","0","Sport","02/08/2000"
"2000","Bahia","2","1","Atlético-PR","02/08/2000"
"2000","Internacional","0","1","Goiás","02/08/2000"
"2000","Palmeiras","0","0","Botafogo","03/08/2000"
"2000","Atlético-PR","1","1","Flamengo","05/08/2000"
"2000","Fluminense","2","1","Santos","05/08/2000"
"2000","Corinthians","4","2","Gama","05/08/2000"
"2000","Coritiba","0","2","Botafogo","06/08/2000"
"2000","Juventude","1","1","ponte-preta","06/08/2000"
"2000","sao-paulo","2","1","santa-cruz","06/08/2000"
"2000","Grêmio","0","1","Palmeiras","06/08/2000"
"2000","Atlético-MG","0","0","Bahia","06/08/2000"
"2000","Portuguesa","0","2","Goiás","06/08/2000"
"2000","Vasco","3","3","Cruzeiro","06/08/2000"
"2000","Gama","0","1","Atlético-PR","08/08/2000"
"2000","Internacional","1","1","Fluminense","09/08/2000"
"2000","Santos","1","1","sao-paulo","09/08/2000"
"2000","Flamengo","1","1","Guarani","09/08/2000"
"2000","Botafogo","4","1","Portuguesa","09/08/2000"
"2000","santa-cruz","2","1","Vitória","09/08/2000"
"2000","Bahia","1","1","Grêmio","09/08/2000"
"2000","Goiás","1","0","Coritiba","09/08/2000"
"2000","Vasco","1","0","Corinthians","11/08/2000"
"2000","Palmeiras","1","1","Goiás","11/08/2000"
"2000","Atlético-PR","2","1","Atlético-MG","11/08/2000"
"2000","Grêmio","0","2","Santos","12/08/2000"
"2000","Coritiba","0","1","Gama","12/08/2000"
"2000","sao-paulo","3","2","Flamengo","12/08/2000"
"2000","Botafogo","0","1","Internacional","13/08/2000"
"2000","Guarani","0","1","Vasco","13/08/2000"
"2000","Corinthians","2","0","santa-cruz","13/08/2000"
"2000","Atlético-PR","0","0","Palmeiras","13/08/2000"
"2000","Portuguesa","2","0","Juventude","13/08/2000"
"2000","Sport","1","1","Cruzeiro","13/08/2000"
"2000","Goiás","4","5","Vitória","13/08/2000"
"2000","santa-cruz","1","1","Vasco","16/08/2000"
"2000","Goiás","3","2","Botafogo","16/08/2000"
"2000","Palmeiras","0","1","Corinthians","16/08/2000"
"2000","Vitória","2","0","Portuguesa","16/08/2000"
"2000","Santos","3","0","América-MG","16/08/2000"
"2000","Internacional","1","1","Atlético-MG","16/08/2000"
"2000","Gama","0","1","Bahia","16/08/2000"
"2000","Fluminense","0","0","Guarani","16/08/2000"
"2000","Cruzeiro","2","2","sao-paulo","16/08/2000"
"2000","Flamengo","2","1","Coritiba","17/08/2000"
"2000","Guarani","3","2","Corinthians","15/10/2000"
"2000","Grêmio","2","2","Portuguesa","15/10/2000"
"2000","Juventude","1","2","Goiás","15/10/2000"
"2000","Fluminense","2","1","Cruzeiro","15/10/2000"
"2000","santa-cruz","1","1","Coritiba","15/10/2000"
"2000","Botafogo","1","0","sao-paulo","15/10/2000"
"2000","Gama","1","1","Goiás","19/08/2000"
"2000","Palmeiras","1","4","Internacional","19/08/2000"
"2000","Atlético-MG","1","0","Santos","19/08/2000"
"2000","América-MG","1","1","Fluminense","19/08/2000"
"2000","Botafogo","1","1","Corinthians","19/08/2000"
"2000","Guarani","0","1","Cruzeiro","19/08/2000"
"2000","sao-paulo","1","1","Bahia","20/08/2000"
"2000","Juventude","1","1","Sport","20/08/2000"
"2000","Atlético-PR","1","3","Coritiba","20/08/2000"
"2000","santa-cruz","2","2","Flamengo","20/08/2000"
"2000","Vasco","2","1","ponte-preta","20/08/2000"
"2000","Vitória","2","4","Fluminense","23/08/2000"
"2000","Juventude","1","1","Santos","23/08/2000"
"2000","Internacional","0","0","Guarani","23/08/2000"
"2000","América-MG","0","0","Atlético-PR","23/08/2000"
"2000","Bahia","1","3","Cruzeiro","23/08/2000"
"2000","Goiás","1","1","santa-cruz","23/08/2000"
"2000","ponte-preta","3","0","Gama","23/08/2000"
"2000","Fluminense","2","0","Juventude","26/08/2000"
"2000","Guarani","1","2","Botafogo","26/08/2000"
"2000","Atlético-PR","2","1","sao-paulo","26/08/2000"
"2000","Cruzeiro","3","1","Vitória","26/08/2000"
"2000","Santos","2","3","Palmeiras","27/08/2000"
"2000","Portuguesa","2","2","Vasco","27/08/2000"
"2000","Corinthians","1","2","Grêmio","27/08/2000"
"2000","Internacional","1","1","Coritiba","27/08/2000"
"2000","Bahia","3","2","santa-cruz","27/08/2000"
"2000","Sport","2","0","Goiás","27/08/2000"
"2000","ponte-preta","3","2","Atlético-MG","27/08/2000"
"2000","Botafogo","0","2","Atlético-PR","30/08/2000"
"2000","Vitória","3","0","Internacional","30/08/2000"
"2000","Portuguesa","3","1","Gama","30/08/2000"
"2000","Guarani","1","2","Juventude","30/08/2000"
"2000","Corinthians","0","3","Santos","30/08/2000"
"2000","Santos","1","1","Cruzeiro","02/09/2000"
"2000","Atlético-MG","1","2","Flamengo","02/09/2000"
"2000","Palmeiras","0","3","sao-paulo","02/09/2000"
"2000","Fluminense","1","0","Botafogo","02/09/2000"
"2000","Grêmio","2","2","ponte-preta","02/09/2000"
"2000","Gama","0","1","Internacional","02/09/2000"
"2000","santa-cruz","0","0","Portuguesa","02/09/2000"
"2000","Vitória","4","3","Sport","02/09/2000"
"2000","Coritiba","1","1","Bahia","02/09/2000"
"2000","América-MG","1","0","Guarani","02/09/2000"
"2000","Vasco","2","2","Atlético-PR","05/09/2000"
"2000","Cruzeiro","1","1","Internacional","05/09/2000"
"2000","Fluminense","2","1","Portuguesa",06/09/00
"2000","Juventude","2","1","Coritiba",06/09/00
"2000","Gama","1","1","santa-cruz",06/09/00
"2000","América-MG","5","2","Botafogo",06/09/00
"2000","Atlético-MG","3","1","Corinthians",07/09/00
"2000","ponte-preta","2","1","Vitória",07/09/00
"2000","Grêmio","1","0","Sport",07/09/00
"2000","Cruzeiro","2","1","Gama",10/09/00
"2000","Corinthians","1","1","Vitória",10/09/00
"2000","Coritiba","2","0","ponte-preta",10/09/00
"2000","Bahia","3","1","Vasco",10/09/00
"2000","Juventude","4","3","Grêmio",10/09/00
"2000","Portuguesa","2","1","Atlético-MG",10/09/00
"2000","Flamengo","0","0","Palmeiras",10/09/00
"2000","santa-cruz","0","1","Santos",09/09/00
"2000","sao-paulo","2","0","Fluminense",09/09/00
"2000","Goiás","2","0","América-MG",09/09/00
"2000","Sport","1","1","Guarani",09/09/00
"2000","Portuguesa","3","1","Bahia","13/09/2000"
"2000","Vasco","4","3","Fluminense","13/09/2000"
"2000","Sport","4","1","Atlético-PR","13/09/2000"
"2000","Vitória","3","1","Coritiba","13/09/2000"
"2000","Gama","2","0","Palmeiras","13/09/2000"
"2000","ponte-preta","3","3","sao-paulo","13/09/2000"
"2000","Cruzeiro","4","0","Botafogo","13/09/2000"
"2000","Grêmio","2","1","América-MG","14/09/2000"
"2000","Flamengo","3","1","Goiás","14/09/2000"
"2000","Atlético-MG","2","2","Fluminense","16/09/2000"
"2000","Internacional","1","1","Santos","16/09/2000"
"2000","Vitória","1","1","Gama","16/09/2000"
"2000","Botafogo","3","1","ponte-preta","16/09/2000"
"2000","Atlético-PR","0","1","Juventude","16/09/2000"
"2000","sao-paulo","2","0","Portuguesa","17/09/2000"
"2000","Palmeiras","1","1","Sport","17/09/2000"
"2000","Grêmio","0","0","Cruzeiro","17/09/2000"
"2000","Bahia","4","1","Flamengo","17/09/2000"
"2000","América-MG","1","0","santa-cruz","17/09/2000"
"2000","Coritiba","1","1","Corinthians","17/09/2000"
"2000","Guarani","0","0","Goiás","17/09/2000"
"2000","Botafogo","0","0","Vitória","27/09/2000"
"2000","santa-cruz","2","1","Juventude","27/09/2000"
"2000","ponte-preta","3","0","Sport","27/09/2000"
"2000","Portuguesa","2","3","Guarani","27/09/2000"
"2000","Juventude","0","2","Gama","20/09/2000"
"2000","Vasco","4","0","América-MG","20/09/2000"
"2000","Santos","2","1","Atlético-PR","20/09/2000"
"2000","Sport","3","0","Bahia","20/09/2000"
"2000","ponte-preta","3","1","Portuguesa","20/09/2000"
"2000","Cruzeiro","3","0","santa-cruz",09/10/00
"2000","Flamengo","3","0","Santos","23/09/2000"
"2000","América-MG","1","1","Internacional","23/09/2000"
"2000","Guarani","2","0","Coritiba","23/09/2000"
"2000","Grêmio","1","0","Vitória","23/09/2000"
"2000","Portuguesa","1","0","Sport","24/09/2000"
"2000","Goiás","2","0","Cruzeiro","24/09/2000"
"2000","Gama","1","3","sao-paulo","24/09/2000"
"2000","Corinthians","1","0","ponte-preta","24/09/2000"
"2000","Fluminense","0","1","Palmeiras","24/09/2000"
"2000","Juventude","1","2","Vasco","24/09/2000"
"2000","santa-cruz","1","2","Atlético-MG","24/09/2000"
