"dia","time_casa","gols_casa","gols_fora","time_fora","ano","r_timecasa","r_timefora"
"1971-08-07","botafogo",0,0,"americarj",1971,,
"1971-08-07","saopaulo",0,3,"gremio",1971,,
"1971-08-07","coritiba",0,2,"cruzeiro",1971,,
"1971-08-07","santacruz",1,4,"corinthians",1971,,
"1971-08-07","palmeiras",1,0,"portuguesa",1971,,
"1971-08-07","ceara",0,0,"vasco",1971,,
"1971-08-07","atleticomg",1,1,"americamg",1971,,
"1971-08-07","sport",1,0,"flamengo",1971,,
"1971-08-07","bahia",0,0,"santos",1971,,
"1971-08-08","internacional",0,0,"fluminense",1971,,
"1971-08-11","ceara",0,1,"corinthians",1971,,
"1971-08-11","cruzeiro",2,1,"portuguesa",1971,,
"1971-08-11","sport",0,2,"santos",1971,,
"1971-08-11","bahia",1,1,"flamengo",1971,,
"1971-08-11","americarj",0,2,"gremio",1971,,
"1971-08-12","santacruz",1,0,"vasco",1971,,
"1971-08-14","saopaulo",1,3,"santos",1971,,
"1971-08-14","flamengo",1,1,"botafogo",1971,,
"1971-08-14","americamg",1,1,"americarj",1971,,
"1971-08-15","bahia",3,0,"sport",1971,,
"1971-08-15","ceara",0,0,"santacruz",1971,,
"1971-08-15","corinthians",0,0,"palmeiras",1971,,
"1971-08-15","coritiba",2,1,"portuguesa",1971,,
"1971-08-15","vasco",1,0,"fluminense",1971,,
"1971-08-15","gremio",1,1,"atleticomg",1971,,
"1971-08-15","cruzeiro",2,0,"internacional",1971,,
"1971-08-18","santos",0,0,"botafogo",1971,,
"1971-08-18","americamg",0,0,"gremio",1971,,
"1971-08-18","bahia",0,1,"saopaulo",1971,,
"1971-08-18","fluminense",2,1,"coritiba",1971,,
"1971-08-21","flamengo",0,1,"atleticomg",1971,,
"1971-08-21","internacional",2,1,"palmeiras",1971,,
"1971-08-21","corinthians",0,0,"cruzeiro",1971,,
"1971-08-22","santos",0,0,"americarj",1971,,
"1971-08-22","vasco",0,3,"portuguesa",1971,,
"1971-08-22","gremio",1,1,"botafogo",1971,,
"1971-08-22","ceara",1,0,"fluminense",1971,,
"1971-08-22","coritiba",1,0,"santacruz",1971,,
"1971-08-22","sport",0,0,"saopaulo",1971,,
"1971-08-25","atleticomg",4,0,"bahia",1971,,
"1971-08-25","palmeiras",1,1,"cruzeiro",1971,,
"1971-08-25","gremio",2,0,"sport",1971,,
"1971-08-25","santacruz",2,2,"fluminense",1971,,
"1971-08-25","coritiba",0,1,"internacional",1971,,
"1971-08-25","botafogo",2,1,"americamg",1971,,
"1971-08-26","corinthians",4,1,"portuguesa",1971,,
"1971-08-26","flamengo",1,1,"americarj",1971,,
"1971-08-28","sport",1,1,"atleticomg",1971,,
"1971-08-29","internacional",0,1,"portuguesa",1971,,
