"dia","time_casa","gols_casa","time_fora","gols_fora","ano","r_timecasa","r_timefora"
"2003-03-29","guarani",4,"vasco",2,"Y",,
"2003-03-29","atletico-pr",2,"gremio",0,"Y",,
"2003-03-30","flamengo",1,"coritiba",1,"Y",,
"2003-03-30","cruzeiro",2,"sao-caetano",2,"Y",,
"2003-03-30","juventude",2,"sao-paulo",2,"Y",,
"2003-03-30","vitoria",1,"figueirense",1,"Y",,
"2003-03-30","internacional",1,"ponte-preta",1,"Y",,
"2003-03-30","goias",2,"paysandu",2,"Y",,
"2003-03-30","fortaleza",0,"bahia",0,"Y",,
"2003-03-30","criciuma",2,"fluminense",0,"Y",,
"2003-03-30","santos",2,"parana",2,"Y",,
"2003-03-30","corinthians",0,"atletico-mg",3,"Y",,
"2003-04-05","atletico-mg",0,"santos",0,"Y",,
"2003-04-05","coritiba",0,"internacional",1,"Y",,
"2003-04-05","fluminense",1,"fortaleza",1,"Y",,
"2003-04-05","gremio",3,"guarani",1,"Y",,
"2003-04-06","bahia",1,"flamengo",2,"Y",,
"2003-04-06","parana",3,"atletico-pr",0,"Y",,
"2003-04-06","paysandu",1,"vitoria",2,"Y",,
"2003-04-06","ponte-preta",1,"juventude",0,"Y",,
"2003-04-06","sao-caetano",3,"criciuma",2,"Y",,
"2003-04-06","figueirense",3,"corinthians",3,"Y",,
"2003-04-06","vasco",6,"goias",4,"Y",,
"2003-04-06","sao-paulo",2,"cruzeiro",4,"Y",,
"2003-04-09","paysandu",2,"santos",1,"Y",,
"2003-04-12","internacional",2,"bahia",0,"Y",,
"2003-04-12","atletico-pr",1,"atletico-mg",2,"Y",,
"2003-04-12","santos",2,"figueirense",0,"Y",,
"2003-04-12","corinthians",6,"paysandu",1,"Y",,
"2003-04-13","goias",1,"gremio",1,"Y",,
"2003-04-13","criciuma",1,"sao-paulo",1,"Y",,
"2003-04-13","fortaleza",1,"sao-caetano",1,"Y",,
"2003-04-13","juventude",2,"coritiba",1,"Y",,
"2003-04-13","guarani",2,"parana",0,"Y",,
"2003-04-13","vitoria",2,"vasco",1,"Y",,
"2003-04-13","cruzeiro",3,"ponte-preta",0,"Y",,
"2003-04-13","flamengo",4,"fluminense",1,"Y",,
"2003-04-16","ponte-preta",1,"criciuma",1,"Y",,
"2003-04-16","bahia",3,"juventude",1,"Y",,
"2003-04-16","gremio",2,"vitoria",1,"Y",,
"2003-04-16","atletico-mg",3,"guarani",2,"Y",,
"2003-04-16","figueirense",1,"atletico-pr",1,"Y",,
"2003-04-16","vasco",2,"corinthians",2,"Y",,
"2003-04-16","coritiba",3,"cruzeiro",4,"Y",,
"2003-04-16","sao-caetano",1,"flamengo",1,"Y",,
"2003-04-17","parana",3,"goias",1,"Y",,
"2003-04-17","fluminense",3,"internacional",1,"Y",,
"2003-04-17","sao-paulo",3,"fortaleza",1,"Y",,
"2003-04-19","sao-caetano",1,"gremio",1,"Y",,
"2003-04-19","bahia",2,"atletico-mg",4,"Y",,
"2003-04-19","flamengo",0,"santos",2,"Y",,
"2003-04-20","internacional",2,"corinthians",1,"Y",,
"2003-04-20","sao-paulo",3,"vasco",1,"Y",,
"2003-04-20","criciuma",1,"guarani",0,"Y",,
"2003-04-20","fortaleza",1,"atletico-pr",0,"Y",,
"2003-04-20","juventude",1,"vitoria",1,"Y",,
"2003-04-20","ponte-preta",4,"paysandu",4,"Y",,
"2003-04-20","fluminense",0,"parana",0,"Y",,
"2003-04-20","cruzeiro",4,"goias",1,"Y",,
"2003-04-21","coritiba",1,"figueirense",0,"Y",,
"2003-04-26","parana",3,"bahia",1,"Y",,
"2003-04-26","atletico-mg",1,"coritiba",2,"Y",,
"2003-04-26","vitoria",0,"internacional",3,"Y",,
"2003-04-26","guarani",1,"cruzeiro",1,"Y",,
"2003-04-27","figueirense",0,"ponte-preta",0,"Y",,
"2003-04-27","corinthians",1,"flamengo",1,"Y",,
"2003-04-27","goias",7,"juventude",0,"Y",,
"2003-04-27","santos",4,"fortaleza",0,"Y",,
"2003-04-27","atletico-pr",5,"criciuma",2,"Y",,
"2003-04-27","gremio",0,"fluminense",1,"Y",,
"2003-04-27","paysandu",5,"sao-paulo",2,"Y",,
"2003-04-27","vasco",1,"sao-caetano",0,"Y",,
"2003-05-03","bahia",2,"gremio",1,"Y",,
"2003-05-03","flamengo",2,"vitoria",1,"Y",,
"2003-05-03","cruzeiro",5,"atletico-pr",2,"Y",,
"2003-05-04","sao-paulo",3,"figueirense",2,"Y",,
"2003-05-04","fortaleza",1,"corinthians",2,"Y",,
"2003-05-04","coritiba",2,"parana",1,"Y",,
"2003-05-04","internacional",2,"goias",1,"Y",,
"2003-05-04","ponte-preta",2,"atletico-mg",1,"Y",,
"2003-05-04","juventude",1,"guarani",1,"Y",,
"2003-05-04","sao-caetano",2,"paysandu",0,"Y",,
"2003-05-04","fluminense",0,"vasco",0,"Y",,
"2003-05-04","criciuma",1,"santos",3,"Y",,
"2003-05-10","goias",1,"flamengo",1,"Y",,
"2003-05-10","santos",0,"cruzeiro",2,"Y",,
"2003-05-10","parana",3,"ponte-preta",2,"Y",,
"2003-05-10","corinthians",3,"criciuma",0,"Y",,
"2003-05-11","figueirense",3,"sao-caetano",0,"Y",,
"2003-05-11","vasco",1,"bahia",1,"Y",,
"2003-05-11","atletico-mg",2,"sao-paulo",2,"Y",,
"2003-05-11","vitoria",2,"fortaleza",1,"Y",,
"2003-05-11","guarani",3,"internacional",0,"Y",,
"2003-05-11","atletico-pr",2,"juventude",0,"Y",,
"2003-05-11","paysandu",2,"fluminense",2,"Y",,
"2003-05-11","gremio",1,"coritiba",0,"Y",,
"2003-05-17","fluminense",3,"figueirense",0,"Y",,
"2003-05-17","sao-caetano",2,"atletico-mg",0,"Y",,
"2003-05-17","juventude",1,"santos",1,"Y",,
"2003-05-18","coritiba",1,"vasco",1,"Y",,
"2003-05-18","bahia",2,"paysandu",0,"Y",,
"2003-05-18","internacional",1,"atletico-pr",1,"Y",,
"2003-05-18","cruzeiro",1,"corinthians",1,"Y",,
"2003-05-18","ponte-preta",2,"gremio",1,"Y",,
"2003-05-18","criciuma",1,"vitoria",1,"Y",,
"2003-05-18","fortaleza",1,"goias",0,"Y",,
"2003-05-18","flamengo",1,"guarani",1,"Y",,
"2003-05-18","sao-paulo",2,"parana",0,"Y",,
"2003-05-24","parana",1,"sao-caetano",1,"Y",,
"2003-05-24","atletico-mg",3,"fluminense",0,"Y",,
"2003-05-24","corinthians",3,"juventude",0,"Y",,
"2003-05-24","vasco",1,"ponte-preta",0,"Y",,
"2003-05-25","atletico-pr",4,"flamengo",1,"Y",,
"2003-05-25","figueirense",1,"bahia",0,"Y",,
"2003-05-25","goias",0,"criciuma",2,"Y",,
"2003-05-25","gremio",1,"sao-paulo",2,"Y",,
"2003-05-25","guarani",2,"fortaleza",1,"Y",,
"2003-05-25","paysandu",1,"coritiba",3,"Y",,
"2003-05-25","vitoria",2,"cruzeiro",1,"Y",,
"2003-05-25","santos",2,"internacional",1,"Y",,
"2003-05-31","ponte-preta",0,"sao-caetano",0,"Y",,
"2003-05-31","coritiba",3,"guarani",2,"Y",,
"2003-05-31","cruzeiro",2,"criciuma",0,"Y",,
"2003-05-31","fluminense",2,"atletico-pr",1,"Y",,
"2003-05-31","internacional",2,"paysandu",1,"Y",,
"2003-06-01","parana",6,"flamengo",2,"Y",,
"2003-06-01","figueirense",2,"gremio",1,"Y",,
"2003-06-01","fortaleza",3,"juventude",1,"Y",,
"2003-06-01","bahia",2,"goias",1,"Y",,
"2003-06-01","santos",3,"sao-paulo",2,"Y",,
"2003-06-01","vasco",2,"atletico-mg",2,"Y",,
"2003-06-01","corinthians",4,"vitoria",0,"Y",,
"2003-06-07","guarani",1,"santos",2,"Y",,
"2003-06-07","gremio",3,"fortaleza",1,"Y",,
"2003-06-07","vitoria",2,"fluminense",1,"Y",,
"2003-06-07","atletico-mg",1,"figueirense",1,"Y",,
"2003-06-08","sao-caetano",1,"corinthians",0,"Y",,
"2003-06-08","goias",1,"coritiba",2,"Y",,
"2003-06-08","paysandu",3,"parana",0,"Y",,
"2003-06-08","juventude",0,"vasco",0,"Y",,
"2003-06-08","atletico-pr",4,"ponte-preta",2,"Y",,
"2003-06-08","sao-paulo",2,"bahia",2,"Y",,
"2003-06-08","criciuma",1,"internacional",0,"Y",,
"2003-06-14","ponte-preta",0,"guarani",2,"Y",,
"2003-06-14","fluminense",2,"goias",3,"Y",,
"2003-06-14","coritiba",2,"atletico-pr",0,"Y",,
"2003-06-15","corinthians",1,"sao-paulo",2,"Y",,
"2003-06-15","fortaleza",1,"paysandu",2,"Y",,
"2003-06-15","parana",1,"juventude",2,"Y",,
"2003-06-15","gremio",0,"internacional",0,"Y",,
"2003-06-15","bahia",2,"vitoria",1,"Y",,
"2003-06-15","criciuma",1,"figueirense",0,"Y",,
"2003-06-15","santos",0,"sao-caetano",1,"Y",,
"2003-06-15","cruzeiro",0,"atletico-mg",0,"Y",,
"2003-06-15","vasco",1,"flamengo",2,"Y",,
"2003-06-18","flamengo",3,"cruzeiro",0,"Y",,
"2003-06-19","bahia",2,"coritiba",2,"Y",,
"2003-06-21","vasco",2,"criciuma",0,"Y",,
"2003-06-21","atletico-mg",3,"gremio",2,"Y",,
"2003-06-21","internacional",2,"parana",1,"Y",,
"2003-06-21","sao-paulo",1,"goias",0,"Y",,
"2003-06-22","paysandu",2,"flamengo",2,"Y",,
"2003-06-22","ponte-preta",3,"corinthians",3,"Y",,
"2003-06-22","sao-caetano",2,"vitoria",1,"Y",,
"2003-06-22","figueirense",2,"fortaleza",2,"Y",,
"2003-06-22","juventude",0,"cruzeiro",1,"Y",,
"2003-06-22","fluminense",5,"guarani",2,"Y",,
"2003-06-28","santos",4,"bahia",0,"Y",,
"2003-06-28","fortaleza",0,"vasco",1,"Y",,
"2003-06-28","gremio",1,"juventude",4,"Y",,
"2003-06-28","coritiba",2,"sao-caetano",0,"Y",,
"2003-06-28","flamengo",0,"figueirense",2,"Y",,
"2003-06-29","corinthians",1,"fluminense",0,"Y",,
"2003-06-29","guarani",0,"sao-paulo",1,"Y",,
"2003-06-29","vitoria",1,"atletico-pr",0,"Y",,
"2003-06-29","criciuma",2,"paysandu",0,"Y",,
"2003-06-29","cruzeiro",3,"internacional",2,"Y",,
"2003-06-29","parana",1,"atletico-mg",1,"Y",,
"2003-07-05","sao-paulo",1,"sao-caetano",1,"Y",,
"2003-07-05","vasco",1,"parana",4,"Y",,
"2003-07-05","figueirense",1,"cruzeiro",0,"Y",,
"2003-07-05","atletico-mg",3,"paysandu",2,"Y",,
"2003-07-06","gremio",2,"flamengo",0,"Y",,
"2003-07-06","vitoria",1,"ponte-preta",4,"Y",,
"2003-07-06","guarani",3,"goias",2,"Y",,
"2003-07-06","atletico-pr",3,"corinthians",1,"Y",,
"2003-07-06","fortaleza",0,"criciuma",1,"Y",,
"2003-07-06","juventude",1,"internacional",1,"Y",,
"2003-07-06","fluminense",1,"bahia",0,"Y",,
"2003-07-06","santos",3,"coritiba",1,"Y",,
"2003-07-09","corinthians",1,"santos",1,"Y",,
"2003-07-09","sao-caetano",0,"atletico-pr",0,"Y",,
"2003-07-09","paysandu",1,"figueirense",0,"Y",,
"2003-07-09","goias",1,"vitoria",1,"Y",,
"2003-07-09","cruzeiro",2,"fortaleza",0,"Y",,
"2003-07-09","bahia",2,"guarani",0,"Y",,
"2003-07-09","flamengo",2,"juventude",1,"Y",,
"2003-07-09","coritiba",0,"sao-paulo",2,"Y",,
"2003-07-09","internacional",2,"vasco",1,"Y",,
"2003-07-10","ponte-preta",3,"fluminense",0,"Y",,
"2003-07-10","criciuma",1,"atletico-mg",0,"Y",,
"2003-07-10","parana",3,"gremio",1,"Y",,
"2003-07-12","fortaleza",3,"internacional",0,"Y",,
"2003-07-12","atletico-pr",0,"goias",0,"Y",,
"2003-07-12","vasco",0,"paysandu",2,"Y",,
"2003-07-13","atletico-mg",1,"flamengo",0,"Y",,
"2003-07-13","ponte-preta",1,"bahia",0,"Y",,
"2003-07-13","corinthians",0,"coritiba",1,"Y",,
"2003-07-13","criciuma",3,"juventude",0,"Y",,
"2003-07-13","fluminense",1,"sao-paulo",3,"Y",,
"2003-07-13","sao-caetano",0,"guarani",2,"Y",,
"2003-07-13","figueirense",4,"parana",2,"Y",,
"2003-07-13","vitoria",2,"santos",0,"Y",,
"2003-07-13","gremio",0,"cruzeiro",1,"Y",,
