"dia","time_casa","gols_casa","time_fora","gols_fora","ponto","Date","winner","loser","draw","ano","rodada"
"2003-03-29","guarani",4,"vasco",2,1,"2003-03-29","guarani","vasco",FALSE,2003,1
"2003-03-29","atletico-pr",2,"gremio",0,1,"2003-03-29","atletico-pr","gremio",FALSE,2003,1
"2003-03-30","flamengo",1,"coritiba",1,0.5,"2003-03-30","flamengo","coritiba",TRUE,2003,1
"2003-03-30","cruzeiro",2,"sao-caetano",2,0.5,"2003-03-30","cruzeiro","sao-caetano",TRUE,2003,1
"2003-03-30","juventude",2,"sao-paulo",2,0.5,"2003-03-30","juventude","sao-paulo",TRUE,2003,1
"2003-03-30","vitoria",1,"figueirense",1,0.5,"2003-03-30","vitoria","figueirense",TRUE,2003,1
"2003-03-30","internacional",1,"ponte-preta",1,0.5,"2003-03-30","internacional","ponte-preta",TRUE,2003,1
"2003-03-30","goias",2,"paysandu",2,0.5,"2003-03-30","goias","paysandu",TRUE,2003,1
"2003-03-30","fortaleza",0,"bahia",0,0.5,"2003-03-30","fortaleza","bahia",TRUE,2003,1
"2003-03-30","criciuma",2,"fluminense",0,1,"2003-03-30","criciuma","fluminense",FALSE,2003,1
"2003-03-30","santos",2,"parana",2,0.5,"2003-03-30","santos","parana",TRUE,2003,1
"2003-03-30","corinthians",0,"atletico-mg",3,0,"2003-03-30","atletico-mg","corinthians",FALSE,2003,1
"2003-04-05","atletico-mg",0,"santos",0,0.5,"2003-04-05","atletico-mg","santos",TRUE,2003,2
"2003-04-05","coritiba",0,"internacional",1,0,"2003-04-05","internacional","coritiba",FALSE,2003,2
"2003-04-05","fluminense",1,"fortaleza",1,0.5,"2003-04-05","fluminense","fortaleza",TRUE,2003,2
"2003-04-05","gremio",3,"guarani",1,1,"2003-04-05","gremio","guarani",FALSE,2003,2
"2003-04-06","bahia",1,"flamengo",2,0,"2003-04-06","flamengo","bahia",FALSE,2003,2
"2003-04-06","parana",3,"atletico-pr",0,1,"2003-04-06","parana","atletico-pr",FALSE,2003,2
"2003-04-06","paysandu",1,"vitoria",2,0,"2003-04-06","vitoria","paysandu",FALSE,2003,2
"2003-04-06","ponte-preta",1,"juventude",0,1,"2003-04-06","ponte-preta","juventude",FALSE,2003,2
"2003-04-06","sao-caetano",3,"criciuma",2,1,"2003-04-06","sao-caetano","criciuma",FALSE,2003,2
"2003-04-06","figueirense",3,"corinthians",3,0.5,"2003-04-06","figueirense","corinthians",TRUE,2003,2
"2003-04-06","vasco",6,"goias",4,1,"2003-04-06","vasco","goias",FALSE,2003,2
"2003-04-06","sao-paulo",2,"cruzeiro",4,0,"2003-04-06","cruzeiro","sao-paulo",FALSE,2003,2
"2003-04-09","paysandu",2,"santos",1,1,"2003-04-09","paysandu","santos",FALSE,2003,2
"2003-04-12","internacional",2,"bahia",0,1,"2003-04-12","internacional","bahia",FALSE,2003,3
"2003-04-12","atletico-pr",1,"atletico-mg",2,0,"2003-04-12","atletico-mg","atletico-pr",FALSE,2003,3
"2003-04-12","santos",2,"figueirense",0,1,"2003-04-12","santos","figueirense",FALSE,2003,3
"2003-04-12","corinthians",6,"paysandu",1,1,"2003-04-12","corinthians","paysandu",FALSE,2003,3
"2003-04-13","goias",1,"gremio",1,0.5,"2003-04-13","goias","gremio",TRUE,2003,3
"2003-04-13","criciuma",1,"sao-paulo",1,0.5,"2003-04-13","criciuma","sao-paulo",TRUE,2003,3
"2003-04-13","fortaleza",1,"sao-caetano",1,0.5,"2003-04-13","fortaleza","sao-caetano",TRUE,2003,3
"2003-04-13","juventude",2,"coritiba",1,1,"2003-04-13","juventude","coritiba",FALSE,2003,3
"2003-04-13","guarani",2,"parana",0,1,"2003-04-13","guarani","parana",FALSE,2003,3
"2003-04-13","vitoria",2,"vasco",1,1,"2003-04-13","vitoria","vasco",FALSE,2003,3
"2003-04-13","cruzeiro",3,"ponte-preta",0,1,"2003-04-13","cruzeiro","ponte-preta",FALSE,2003,3
"2003-04-13","flamengo",4,"fluminense",1,1,"2003-04-13","flamengo","fluminense",FALSE,2003,3
"2003-04-16","ponte-preta",1,"criciuma",1,0.5,"2003-04-16","ponte-preta","criciuma",TRUE,2003,3
"2003-04-16","bahia",3,"juventude",1,1,"2003-04-16","bahia","juventude",FALSE,2003,4
"2003-04-16","gremio",2,"vitoria",1,1,"2003-04-16","gremio","vitoria",FALSE,2003,4
"2003-04-16","atletico-mg",3,"guarani",2,1,"2003-04-16","atletico-mg","guarani",FALSE,2003,4
"2003-04-16","figueirense",1,"atletico-pr",1,0.5,"2003-04-16","figueirense","atletico-pr",TRUE,2003,4
"2003-04-16","vasco",2,"corinthians",2,0.5,"2003-04-16","vasco","corinthians",TRUE,2003,4
"2003-04-16","coritiba",3,"cruzeiro",4,0,"2003-04-16","cruzeiro","coritiba",FALSE,2003,4
"2003-04-16","sao-caetano",1,"flamengo",1,0.5,"2003-04-16","sao-caetano","flamengo",TRUE,2003,4
"2003-04-17","parana",3,"goias",1,1,"2003-04-17","parana","goias",FALSE,2003,4
